route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15612,CMBC,388,WALNUT GROVE/22 ST STN., ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r388.ashx, , 
15613,CMBC,391,SCOTTSDALE/SCOTT ROAD STN        , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r391.ashx, , 
15614,CMBC,393,NEWTON EXCH/SURREY CENTRAL STN    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r393.ashx, , 
15615,CMBC,394,WHITE ROCK/KING GEORGE STN EXPRESS , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r394.ashx, , 
15616,CMBC,395,WILLOWBROOK/KING GEORGE STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r395.ashx, , 
15617,CMBC,401,ONE ROAD/GARDEN CITY             , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r401.ashx, , 
15618,CMBC,402,TWO ROAD/BRIGHOUSE STATION     , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r402.ashx, , 
15619,CMBC,403,BRIDGEPORT STN/THREE ROAD, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r403.ashx, , 
15620,CMBC,404,LADNER EXCH/BRIGHOUSE STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r404.ashx, , 
15621,CMBC,405,FIVE ROAD/CAMBIE    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r405.ashx, , 
15622,CMBC,407,GILBERT/BRIDGEPORT, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r407.ashx, , 
15623,CMBC,410,22ND ST STN/QUEENSBOROUGH/RAILWAY, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r410.ashx, , 
15624,CMBC,430,METROTOWN/BRIGHOUSE STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r430.ashx, , 
15625,CMBC,480,UBC/BRGPORT/BRIGHOUSE STN          , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r480.ashx, , 
15626,CMBC,501,LANGLEY CENTRE/SURREY CENTRAL STN  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r501.ashx, , 
15627,CMBC,502,ALDGR/BRKSWD/LANGLEY/SURREY STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r502.ashx, , 
15628,CMBC,509,WALNUT GROVE/SURREY CENTRAL STN   , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r509.ashx, , 
15629,CMBC,590,LANGLEY SOUTH/SURREY CENTRAL STN  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r590.ashx, , 
15630,CMBC,595,HANEY PLACE/LANGLEY CENTRE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r595.ashx, , 
15631,CMBC,601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r601.ashx, , 
15632,CMBC,602,TSAWWASSEN HEIGHTS/BRIDGEPORT, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r602.ashx, , 
